smiles,c_index,x_index
Br[C:11]1=[CH:9][CH:6]=[C:4]([C:1]([O:2][CH2:5][CH3:8])=[O:3])[CH:7]=[CH:10]1,1,0
Br[C:1]1=[N:3][C:5]([C:8]2=[CH:11][CH:15]=[CH:18][CH:16]=[CH:12]2)=[CH:6][C:4]([C:7]2=[CH:9][CH:13]=[CH:17][CH:14]=[CH:10]2)=[N:2]1,1,0
Br[C:21]1=[CH:23][CH:22]=[CH:20][C:18]([N:15](=[O:16])=[O:17])=[CH:19]1,1,0
Br[C:9]1=[CH:11][CH:10]=[CH:8][C:6]([C:4]#[N:5])=[CH:7]1,1,0
Br[C:19]1=[CH:17][CH:15]=[C:14]([N:11]([CH3:12])[CH3:13])[CH:16]=[CH:18]1,1,0
Br[C:1]1=[CH:3][S:5][CH:4]=[CH:2]1,1,0
Br[C:1]1=[CH:2][CH:4]=[C:6]([OH:7])[CH:5]=[CH:3]1,1,0
I[C:24]1=[CH:26][CH:25]=[CH:23][C:21]([F:20])=[CH:22]1,1,0
I[C:1]1=[CH:2][CH:4]=[CH:6][CH:5]=[N:3]1,1,0
I[C:16]1=[CH:18][CH:17]=[CH:15][C:13]([C:9]([F:10])([F:11])[F:12])=[CH:14]1,1,0
I[C:5]1=[CH:7][CH:6]=[CH:4][C:2]([Cl:1])=[CH:3]1,1,0
I[C:22]1=[C:21]([N:18](=[O:19])=[O:20])[CH:23]=[CH:25][CH:26]=[CH:24]1,1,0
I[C:1]1=[CH:2][CH:4]=[C:6]([NH2:7])[CH:5]=[CH:3]1,1,0
I[C:3]1=[C:2]([Cl:1])[CH:4]=[CH:6][CH:7]=[CH:5]1,1,0
Br[C:33]1=[CH:34][C:36]([C:39]2=[CH:41][CH:45]=[CH:49][CH:46]=[CH:42]2)=[CH:38][C:37]([C:40]2=[CH:43][CH:47]=[CH:50][CH:48]=[CH:44]2)=[CH:35]1,1,0
Cl[C:20]1=[CH:18][CH:16]=[C:15]([C:11]([F:12])([F:13])[F:14])[CH:17]=[CH:19]1,1,0
Cl[C:16]1=[N:11][C:6]2=[C:4]([S:1](=[O:2])(=[O:3])[C:5]3=[CH:8][C:13]([Cl:17])=[CH:18][CH:14]=[CH:9]3)[N:7]=[N:12][N:10]2[C:15]2=[C:19]1[S:21][CH:22]=[CH:20]2,1,0
Cl[C:16]1=[N:11][C:6]2=[C:4]([S:1](=[O:2])(=[O:3])[C:5]3=[CH:8][C:13]([CH3:17])=[C:18]([CH3:21])[CH:14]=[CH:9]3)[N:7]=[N:12][N:10]2[C:15]2=[C:19]1[S:22][CH:23]=[CH:20]2,1,0
Cl[C:16]1=[N:11][C:6]2=[C:4]([S:1](=[O:2])(=[O:3])[C:5]3=[CH:8][CH:13]=[C:17]([Br:20])[CH:14]=[CH:9]3)[N:7]=[N:12][N:10]2[C:15]2=[C:18]1[S:21][CH:22]=[CH:19]2,1,0
Cl[C:16]1=[N:11][C:6]2=[C:4]([S:1](=[O:2])(=[O:3])[C:5]3=[CH:8][CH:13]=[C:17]([CH:20]([CH3:23])[CH3:24])[CH:14]=[CH:9]3)[N:7]=[N:12][N:10]2[C:15]2=[C:18]1[S:21][CH:22]=[CH:19]2,1,0
