smiles,c_index,x_index,global_number_of_atoms,global_charge,global_multiplicity,global_dipole,global_molar_mass,global_molar_volume,global_electronic_spatial_extent,global_E_scf,global_zero_point_correction,global_E_thermal_correction,global_H_thermal_correction,global_G_thermal_correction,global_E_zpe,global_E,global_H,global_G,global_stoichiometry,global_converged,global_homo_energy,global_lumo_energy,global_electronegativity,global_hardness,global_ES_root_dipole,global_ES_root_molar_volume,global_ES_root_electronic_spatial_extent,local_X,local_Y,local_Z,local_VBur,local_Mulliken_charge,local_APT_charge,local_NPA_charge,local_NPA_core,local_NPA_valence,local_NPA_Rydberg,local_NPA_total,local_NMR_shift,local_NMR_anisotropy,local_ES_root_Mulliken_charge,local_ES_root_NPA_charge,local_ES_root_NPA_core,local_ES_root_NPA_valence,local_ES_root_NPA_Rydberg,local_ES_root_NPA_total,from_cas,from_hammett,from_informer,local_NMR_pred,Halide
Brc1cccc(C)n1,1,0,14.0,0.0,1.0,3.2171,172.0241,1060.623,1614.1273,-2858.71020549,0.10628,0.113681,0.114625,0.072833,-2858.606067,-2858.598666,-2858.597722,-2858.639514,C6H6BrN,1.0,-0.2484,-0.03455,0.141475,0.106925,1.4116,1414.164,1614.6757,0.186048,0.214037,-2.2e-05,0.5899937067337948,0.249307,0.69335,0.14959,1.99876,3.81879,0.03287,5.85041,33.3274,78.0348,0.261318,0.0733,1.99875,3.89822,0.02972,5.9267,True,False,False,144.82239317893982,Br
Brc1ccc(OC)cc1C=O,1,0,18.0,0.0,1.0,2.5578,215.0461,1164.558,2865.3043,-3031.19720356,0.133048,0.143327,0.144271,0.095973,-3031.065685,-3031.055405,-3031.054461,-3031.10276,C8H7BrO2,1.0,-0.23294,-0.07199,0.152465,0.080475,1.151,1164.558,2864.0472,-0.709168,-0.422322,0.0,0.6409691629955947,0.021958,0.325441,-0.09687,1.99854,4.07784,0.0205,6.09687,57.6444,99.8471,0.003834,-0.12547,1.9985,4.10749,0.01948,6.12547,True,False,False,109.94627475738524,Br
Ic1c(C#N)cccc1,1,0,13.0,0.0,1.0,4.9658,229.0198,1251.171,1512.6932,-335.256092113,0.088785,0.096453,0.097397,0.054452,-335.168112,-335.160444,-335.1595,-335.202445,C7H4IN,1.0,-0.25671,-0.0623,0.159505,0.097205,6.3236,1191.592,1522.2038,-0.504827,-0.368382,0.0,0.6543423536815607,-0.354811,0.325872,-0.1935,1.99863,4.16763,0.02724,6.1935,54.3457,120.629,-0.289545,-0.25387,1.99872,4.22502,0.03013,6.25387,True,True,False,114.6249418258667,I
Clc1c(C#N)cccc1,1,0,13.0,0.0,1.0,5.1736,137.5683,1253.188,1311.0136,-784.082686749,0.089718,0.096991,0.097935,0.057288,-783.993651,-783.986378,-783.985434,-784.026081,C7H4ClN,1.0,-0.26761,-0.06302,0.165315,0.102295,5.351,987.36,1313.2123,0.0,-0.651162,-0.0,0.6286972938955318,-0.092235,0.411486,-0.00955,1.99854,3.98883,0.02218,6.00955,49.5361,121.3295,-0.110866,-0.00693,1.99854,3.98667,0.02172,6.00693,True,True,False,121.576886177063,Cl
Clc1nc2c(cc1)cccc2,1,0,17.0,0.0,1.0,3.4622,163.6061,1341.429,2061.7766,-861.522830532,0.126203,0.134091,0.135035,0.092894,-861.403727,-861.39584,-861.394895,-861.437036,C9H6ClN,1.0,-0.24151,-0.06181,0.15166,0.08985,4.1329,1278.549,2092.2713,1.634279,0.005575,0.0,0.5811831340465702,0.114014,0.804031,0.21515,1.99878,3.75442,0.03165,5.78485,37.312,79.468,0.115696,0.23758,1.99877,3.73099,0.03266,5.76242,True,False,False,140.28321051597595,Cl
Ic1c(C)cc(C)cc1,1,0,18.0,0.0,1.0,1.9268,232.0636,1535.668,1817.1649,-321.654233875,0.145718,0.155148,0.156092,0.108627,-321.510516,-321.501086,-321.500141,-321.547606,C8H9I,1.0,-0.22977,-0.0283,0.129035,0.100735,6.1781,1347.627,1839.5861,-0.177142,-0.161696,-0.000767,0.6593769666456891,-0.3747,0.306747,-0.20544,1.99856,4.18165,0.02523,6.20544,59.4667,78.9705,-0.295244,-0.22852,1.99869,4.19969,0.03015,6.22852,True,False,False,107.58744502067566,I
Brc1c2c(c(-c3cc4c(cc3)cccc4)c3c1cccc3)cccc2,1,0,40.0,0.0,1.0,2.2071,383.2865,2351.259,11483.9029,-3495.31484528,0.312425,0.330906,0.33185,0.262768,-3495.015557,-3494.997077,-3494.996133,-3495.065215,C24H15Br,1.0,-0.19519,-0.06881,0.132,0.06319,1.9996,3097.691,11530.7732,2.695162,0.000191,-0.059685,0.6742448080553808,-0.077426,0.374107,-0.04862,1.99853,4.03064,0.01945,6.04862,54.7228,66.6349,-0.092071,-0.06021,1.99851,4.04192,0.01978,6.06021,True,False,False,116.18656992912292,Br
Brc1cc2c(cc1)nccc2,1,0,17.0,0.0,1.0,1.8767,208.0571,1069.621,2839.0645,-2973.02985331,0.125915,0.134028,0.134973,0.091541,-2972.909178,-2972.901065,-2972.900121,-2972.943552,C9H6BrN,1.0,-0.23687,-0.06178,0.1493249999999999,0.087545,3.6599,1502.562,2854.9599,1.032896,0.152248,0.0,0.6128067967275016,0.081309,0.402462,-0.10713,1.99861,4.08667,0.02185,6.10713,55.5475,106.3941,0.081548,-0.11141,1.9986,4.09115,0.02166,6.11141,True,False,False,113.15273952484132,Br
Clc1c2c(nc(Cl)n1)cc1c(c2)OCO1,1,0,19.0,0.0,1.0,5.698,243.0488,1416.737,4261.8038,-1525.68152659,0.120098,0.131475,0.132419,0.081059,-1525.576084,-1525.564706,-1525.563762,-1525.615122,C9H4Cl2N2O2,1.0,-0.24136,-0.07767,0.159515,0.081845,7.6857,1684.046,4310.3412,-1.282033,1.185742,3e-06,0.60509754562618,0.046156,0.991303,0.25721,1.99869,3.7122,0.0319,5.74279,28.4713,90.6874,0.008067,0.17652,1.9987,3.79253,0.03225,5.82348,True,False,False,149.1808564662933,Cl
Brc1cc(Cl)cc(C(CC(O)=O)c2ncc(C)s2)c1,1,0,30.0,0.0,1.0,2.8299,360.6524,2045.842,8692.9764,-4137.31229894,0.216684,0.235267,0.236212,0.165257,-4137.099966,-4137.081382,-4137.080438,-4137.151393,C13H11BrClNO2S,1.0,-0.24094,-0.03694,0.13894,0.102,0.96,2767.904,8797.8364,-2.348883,-0.475454,-0.378047,0.6135934550031467,0.081189,0.450935,-0.09285,1.9986,4.07217,0.02208,6.09285,54.3531,107.4819,0.069282,-0.07916,1.9986,4.05843,0.02213,6.07916,True,False,False,115.16545462608336,Br
